datetime,open,high,low,close,volume
2025-10-08 07:15:00,4046.01,4048.5,4043.37,4047.5,
2025-10-08 07:30:00,4047.44,4048.98,4046.01,4048.19,
2025-10-08 07:45:00,4048.18,4049,4044.02,4045.71,
2025-10-08 08:00:00,4045.71,4050,4045.71,4047.46,
2025-10-08 08:15:00,4047.45,4051.83,4046.72,4050.47,
2025-10-08 08:30:00,4050.47,4052.54,4049.95,4050.8,
2025-10-08 08:45:00,4050.8,4052.93,4048.44,4048.45,
2025-10-08 09:00:00,4048.45,4049.99,4045.6,4047.61,
2025-10-08 09:15:00,4047.61,4047.98,4045.57,4045.6,
2025-10-08 09:30:00,4045.6,4051.39,4043.01,4051.38,
2025-10-08 09:45:00,4051.38,4059.94,4051.38,4059.94,
2025-10-08 10:00:00,4059.93,4059.99,4056.59,4057.52,
2025-10-08 10:15:00,4057.52,4057.52,4049.79,4051.35,
2025-10-08 10:30:00,4051.35,4053.19,4042.95,4047.82,
2025-10-08 10:45:00,4047.82,4049.2,4047.54,4049,
2025-10-08 11:00:00,4049,4049.6,4040.31,4047.54,
2025-10-08 11:15:00,4047.53,4048.59,4045.53,4047.81,
2025-10-08 11:30:00,4047.81,4050.87,4045.44,4049.14,
2025-10-08 11:45:00,4049.14,4051.72,4048.34,4051.69,
2025-10-08 12:00:00,4051.67,4059.43,4051.31,4057.66,
2025-10-08 12:15:00,4057.66,4059.2,4049.81,4053.41,
2025-10-08 12:30:00,4053.5,4054.25,4043.99,4047.69,
2025-10-08 12:45:00,4047.69,4053.48,4047.68,4053.3,
2025-10-08 13:00:00,4053.3,4059.43,4052.95,4058.8,
2025-10-08 13:15:00,4058.79,4059,4053.39,4053.39,
2025-10-08 13:30:00,4053.39,4053.59,4041.58,4043.54,
2025-10-08 13:45:00,4043.54,4054.25,4042.01,4052.84,
2025-10-08 14:00:00,4052.84,4059.5,4051.05,4057.19,
2025-10-08 14:15:00,4057.19,4059.62,4053.36,4057.49,
2025-10-08 14:30:00,4057.5,4059.94,4055,4056.79,
2025-10-08 14:45:00,4056.79,4064.9,4056.33,4064.89,
2025-10-08 15:00:00,4064.9,4066,4056.02,4056.85,
2025-10-08 15:15:00,4056.86,4063.38,4055.83,4063.37,
2025-10-08 15:30:00,4063.37,4063.45,4058.58,4060.02,
2025-10-08 15:45:00,4060.02,4062.64,4058.24,4058.24,
2025-10-08 16:00:00,4058.25,4069.08,4057.68,4068.43,
2025-10-08 16:15:00,4068.43,4070,4065.5,4069.53,
2025-10-08 16:30:00,4069.53,4079.48,4069.53,4074.19,
2025-10-08 16:45:00,4074.28,4075.83,4067.01,4070.35,
2025-10-08 17:00:00,4070.36,4073.5,4067,4069.23,
2025-10-08 17:15:00,4069.23,4070.91,4061.72,4064,
2025-10-08 17:30:00,4064,4065.21,4059.13,4063.57,
2025-10-08 17:45:00,4063.58,4067.3,4062.91,4063.79,
2025-10-08 18:00:00,4063.8,4066.47,4056,4056.08,
2025-10-08 18:15:00,4056.07,4061,4051.34,4060.14,
2025-10-08 18:30:00,4060.15,4061.03,4057.41,4058.95,
2025-10-08 18:45:00,4058.94,4060.32,4058.67,4060.3,
2025-10-08 19:00:00,4060.3,4066.44,4045.63,4052.97,
2025-10-08 19:15:00,4052.97,4060.67,4050,4057.28,
2025-10-08 19:30:00,4057.27,4057.28,4047.47,4049.23,
2025-10-08 19:45:00,4049.24,4058.15,4049.24,4056.45,
2025-10-08 20:00:00,4056.45,4057.31,4051.82,4054.14,
2025-10-08 20:15:00,4054.14,4056.35,4053.31,4055.12,
2025-10-08 20:30:00,4055.12,4055.68,4051.51,4054.26,
2025-10-08 20:45:00,4054.26,4057.54,4051.52,4055.35,
2025-10-08 21:00:00,4055.34,4058.05,4055.34,4058.05,
2025-10-08 21:15:00,4058.05,4058.15,4056.75,4058,
2025-10-08 21:30:00,4058,4058.32,4055.79,4057.89,
2025-10-08 21:45:00,4058.26,4059.6,4056.92,4056.93,
2025-10-08 22:00:00,4056.93,4057.44,4030,4042.25,
2025-10-08 22:15:00,4042.24,4042.69,4036.24,4039.73,
2025-10-08 22:30:00,4039.86,4043.32,4035.78,4038.15,
2025-10-08 22:45:00,4038.34,4040.1,4036.52,4038.52,
2025-10-08 23:00:00,4038.53,4041.97,4030,4039.12,
2025-10-08 23:15:00,4039.13,4041.52,4032.1,4033,
2025-10-08 23:30:00,4033.01,4038.01,4028.33,4029.33,
2025-10-08 23:45:00,4029.34,4033.59,4021,4032.21,
2025-10-09 00:00:00,4032.22,4038.92,4029.06,4038.84,
2025-10-09 00:15:00,4038.84,4049.07,4038.33,4046.91,
2025-10-09 00:30:00,4047.11,4048.05,4044.59,4047,
